date,step_count,move_minutes_count,calories,distance,average_speed,max_speed,min_speed,city,country,country_code,weather,travel_day
2023-06-09,7313.0,98.0,1740.12255859375,4747.005281553974,0.4719066841954892,2.817439132810464,0.2550294451604079,Bandar Seri Begawan,Brunei,BN,Rain,True
2023-06-10,15471.0,197.0,1740.12255859375,9875.232131116962,0.5260886267859929,2.261622804041923,0.2517785761232136,Bandar Seri Begawan,Brunei,BN,Clouds,True
2023-06-11,18270.0,242.0,1740.1225585937502,12031.028785274331,0.6683663032482626,1.95114715888312,0.2561596456678258,Bandar Seri Begawan,Brunei,BN,Clouds,True
2023-06-12,20576.0,278.0,1740.12255859375,13266.650043299149,0.5689226265874996,1.828649706657705,0.2492988166037418,Kota Kinabalu,Malaysia,MY,Clouds,True
2023-06-13,15758.0,168.0,1740.12255859375,10861.424753315236,0.5693067137577215,1.889657653245395,0.2549475882311778,Kota Kinabalu,Malaysia,MY,Clouds,True
2023-06-14,17165.0,210.0,1740.12255859375,11372.162409664816,0.5186516758938846,2.023146033404715,0.2491626529911135,Kota Kinabalu,Malaysia,MY,Thunderstorm,True
2023-10-10,601.0,7.0,1740.1225585937498,291.4963250896202,0.318313629517831,0.7770040838127387,0.2917227883239229,Kuala Lumpur,Malaysia,MY,Rain,True
2023-10-11,398.0,1.0,1740.12255859375,156.28385369705418,0.3900926519024746,0.8765873143512846,0.3138229672562032,Kuala Lumpur,Malaysia,MY,Thunderstorm,True
2023-10-12,303.0,1.0,1740.1225585937498,95.67132395849326,0.6243723737560156,0.9682857511162756,0.25105839951334,Kuala Lumpur,Malaysia,MY,Rain,True
2023-10-13,3300.0,46.0,1740.12255859375,1931.054510246182,0.3490284461777514,1.3628928373909466,0.2719799328061184,Kuala Lumpur,Malaysia,MY,Rain,True
2023-10-14,3878.0,59.0,1740.12255859375,2266.6041512660213,0.4799607174437869,1.6020542913807063,0.25105839951334,Kuala Lumpur,Malaysia,MY,Rain,True
2023-10-15,10719.0,148.0,1740.12255859375,6774.714738754818,0.5912568352696125,1.7067409323722358,0.25105839951334,Kuala Lumpur,Malaysia,MY,Clouds,True
2024-02-02,11434.0,173.0,1740.12255859375,7244.286905786377,0.6272129846653263,1.4759961093077738,0.2541143185706791,Kathmandu,Nepal,NP,Clouds,True
2024-02-03,14399.0,201.0,1740.1225585937498,9201.379363407654,0.4793127776242019,1.369792939614429,0.25105839951334,Kathmandu,Nepal,NP,Clouds,True
2024-02-04,28267.0,401.0,1740.1225585937498,18255.39991667022,0.5362046474556239,1.9077110603001783,0.249892648483946,Kathmandu,Nepal,NP,Haze,True
2024-02-05,9892.0,125.0,1740.12255859375,6297.308445443466,0.5670369805590731,1.4019750866096212,0.25105839951334,Kathmandu,Nepal,NP,Clouds,True
2024-02-06,12881.0,184.0,1740.1225585937498,8160.834829535827,0.5113129938270955,1.268463233394929,0.25105839951334,Kathmandu,Nepal,NP,Clouds,True
2024-02-07,4584.0,56.0,1740.12255859375,2488.2088592907407,0.49492347375706,1.4468999976937984,0.2719799328061184,Kathmandu,Nepal,NP,Clouds,True
2024-02-10,13134.0,190.0,1740.1225585937502,8366.405210113575,0.54669069021871,1.267598494396834,0.25105839951334,New Delhi,India,IN,Haze,True
2024-02-11,18725.0,289.0,1740.12255859375,11694.4501768313,0.5346990196240259,1.20995956137165,0.25105839951334,New Delhi,India,IN,Haze,True
2024-02-12,3459.0,57.0,1740.1225585937502,2112.336862947092,0.5815861287191604,1.1499393869641448,0.3138229689932555,New Delhi,India,IN,Haze,True
2024-02-13,4138.0,64.0,1740.12255859375,2500.296129213544,0.567335559051876,1.2093813032657734,0.2824406994525075,Chennai,India,IN,Clouds,True
2024-02-14,3017.0,46.0,1740.1225585937502,1795.4208225397233,0.4188908722412984,1.1479432503686868,0.2615191661597292,Chennai,India,IN,Clouds,True
2024-02-17,11296.0,161.0,1740.12255859375,7076.975278098196,0.485838282851967,1.215893429840716,0.2474446056728078,Chennai,India,IN,Clear,True
2024-02-18,16153.0,240.0,1740.12255859375,10028.047829634328,0.6107686262501894,1.4376405137141124,0.2615191661597292,Chennai,India,IN,Clouds,True
2024-02-19,4860.0,73.0,1740.12255859375,2810.426527229732,0.5939618516375342,1.276086281665271,0.2540183448163148,Chennai,India,IN,Clouds,True
2024-02-20,2884.0,49.0,1740.12255859375,1752.506999335816,0.4730821098646241,1.266635656027908,0.2615191661597292,Chennai,India,IN,Clouds,True
2024-02-21,7384.0,109.0,1740.12255859375,4697.827836992481,0.5314319295857903,1.3010234485651726,0.2824406994525075,Chennai,India,IN,Clear,True
2024-02-22,6690.0,99.0,1414.227162195234,3958.5438178167374,0.4625096994921307,1.4595767929369723,0.25105839951334,Colombo,Sri Lanka,LK,Clouds,True
2024-02-26,10448.0,163.0,1740.12255859375,6276.814298688034,0.4069610861790874,1.5433723445552632,0.2477555134624766,Colombo,Sri Lanka,LK,Clouds,True
2024-02-27,5911.0,79.0,1740.12255859375,3391.3004212812466,0.4340254441307883,1.176453964927182,0.25105839951334,Colombo,Sri Lanka,LK,Rain,True
2024-02-28,9340.0,136.0,1740.12255859375,5668.993560491549,0.4070786510804576,1.2836476597479622,0.2615191661597292,Colombo,Sri Lanka,LK,Clouds,True
2024-02-29,3022.0,54.0,1740.12255859375,1715.1819117438108,0.4382880259416431,1.0658931912652223,0.25105839951334,Kuala Lumpur,Malaysia,MY,Clouds,True
2024-03-01,2154.0,33.0,1740.12255859375,1207.3856552702532,0.3667357523806114,0.9613017622463718,0.25105839951334,Kuala Lumpur,Malaysia,MY,Rain,True
2024-03-02,10474.0,163.0,1740.12255859375,6450.699910835948,0.4217650379114816,1.106909677092759,0.2615191661597292,Kuala Lumpur,Malaysia,MY,Thunderstorm,True
